filename,title,source_url,present
141_12_April_2021__Issue_139_.html,Update: 12 April 2021 (Issue 139),https://uclnews.org.uk/UAA-7BQDY-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
142_21_April_2021__Issue_140_.html,Update: 21 April 2021 (Issue 140),https://uclnews.org.uk/UAA-7C2V2-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
143_4_May_2021__Issue_141_.html,Update: 4 May 2021 (Issue 141),https://uclnews.org.uk/t/UAA-7CSQP-3A6C59BB99502197UGAA3A5BB24283E58E270C/cr.aspx,yes
144_17_May_2021__Issue_142_.html,Update: 17 May 2021 (Issue 142),https://uclnews.org.uk/t/UAA-7DGMA-3A6C59BB99502197UGAA3A5BB24283E58E270C/cr.aspx,yes
145_24_May_2021__Issue_143_.html,Update: 24 May 2021 (Issue 143),https://uclnews.org.uk/UAA-7DTD0-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
146_15_June_2021__Issue_144_.html,Update: 15 June 2021 (Issue 144),https://uclnews.org.uk/UAA-7EX8S-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
147_21_June_2021__Issue_145_.html,Update: 21 June 2021 (Issue 145),https://uclnews.org.uk/UAA-7FAGZ-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
148_13_July_2021__Issue_146_.html,Update: 13 July 2021 (Issue 146),https://uclnews.org.uk/UAA-7GD6Y-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
149_26_July_2021__Issue_147_.html,Update: 26 July 2021 (Issue 147),https://uclnews.org.uk/UAA-7GMF7-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
150_2_August_2021__Issue_148_.html,Update: 2 August 2021 (Issue 148),https://uclnews.org.uk/UAA-7HAGG-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
151_31_August_2021__Issue_149_.html,Update: 31 August 2021 (Issue 149),https://uclnews.org.uk/t/UAA-7IGCB-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
152_14_September_2021__Issue_150_.html,Update: 14 September 2021 (Issue 150),https://uclnews.org.uk/UAA-7JAUS-8B0E242268DCC634P2TAJP1B82DDE022A34313/cr.aspx,yes
153_29_September_2021__Issue_151_.html,Update: 29 September 2021 (Issue 151),https://uclnews.org.uk/UAA-7JYF1-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
154_11_October_2021__Issue_152_.html,Update: 11 October 2021 (Issue 152),https://uclnews.org.uk/UAA-7KM6Z-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
155_25_October_2021__Issue_153_.html,Update: 25 October 2021 (Issue 153),https://uclnews.org.uk/UAA-7LB6C-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
156_1_November_2021__Issue_154_.html,Update: 1 November 2021 (Issue 154),https://uclnews.org.uk/t/UAA-7LP5T-BEC4BA5133845091UWW3JNB8692F9F8C381453/cr.aspx,yes
